station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
RCTP,2016-12-31 00:00,68.00,62.60,82.86,40.00,17.00,0.00,30.24,M,6.21,M,FEW,SCT,M,M,1500.00,2200.00,M,M,M,M,M,M,M,M,M,68.00,RCTP 310000Z 04017KT 9999 FEW015 SCT022 20/17 Q1024 NOSIG RMK A3024
RCTP,2016-12-31 00:30,69.80,62.60,77.90,40.00,19.00,0.00,30.24,M,6.21,M,BKN,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,69.80,RCTP 310030Z 04019KT 9999 BKN019 21/17 Q1024 NOSIG RMK A3025
RCTP,2016-12-31 01:00,69.80,62.60,77.90,50.00,18.00,0.00,30.24,M,6.21,M,BKN,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,69.80,RCTP 310100Z 05018KT 9999 BKN022 21/17 Q1024 NOSIG RMK A3025
RCTP,2016-12-31 01:30,69.80,62.60,77.90,40.00,16.00,0.00,30.24,M,6.21,M,FEW,BKN,M,M,2100.00,3000.00,M,M,M,M,M,M,M,M,M,69.80,RCTP 310130Z 04016KT 9999 FEW021 BKN030 21/17 Q1024 NOSIG RMK A3025
RCTP,2016-12-31 02:00,71.60,62.60,73.27,40.00,16.00,0.00,30.24,M,6.21,M,BKN,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,71.60,RCTP 310200Z 04016KT 9999 BKN023 22/17 Q1024 NOSIG RMK A3025
RCTP,2016-12-31 03:00,73.40,64.40,73.44,40.00,17.00,0.00,30.21,M,6.21,M,SCT,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,73.40,RCTP 310300Z 04017KT 9999 SCT022 23/18 Q1023 NOSIG RMK A3023
RCTP,2016-12-31 03:30,73.40,64.40,73.44,40.00,19.00,0.00,30.21,M,6.21,M,SCT,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,73.40,RCTP 310330Z 04019KT 9999 SCT022 23/18 Q1023 NOSIG RMK A3022
RCTP,2016-12-31 04:00,73.40,64.40,73.44,30.00,21.00,0.00,30.18,M,6.21,M,FEW,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,73.40,RCTP 310400Z 03021KT 9999 FEW024 23/18 Q1022 NOSIG RMK A3019
RCTP,2016-12-31 04:30,73.40,64.40,73.44,30.00,21.00,0.00,30.15,M,6.21,M,SCT,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,73.40,RCTP 310430Z 03021KT 9999 SCT027 23/18 Q1021 NOSIG RMK A3017
RCTP,2016-12-31 05:00,73.40,64.40,73.44,40.00,24.00,0.00,30.15,M,6.21,M,FEW,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,73.40,RCTP 310500Z 04024KT 9999 FEW028 23/18 Q1021 NOSIG RMK A3016
