station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
VHHH,2016-12-31 00:00,113.9219,22.3094,60.80,50.00,67.54,110.00,4.00,0.00,30.24,M,4.97,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,60.80,VHHH 310000Z 11004KT 8000 FEW045 16/10 Q1024 NOSIG
VHHH,2016-12-31 00:30,113.9219,22.3094,64.40,51.80,63.60,M,2.00,0.00,30.24,M,4.97,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,64.40,VHHH 310030Z VRB02KT 8000 FEW045 18/11 Q1024 NOSIG
VHHH,2016-12-31 01:00,113.9219,22.3094,64.40,51.80,63.60,50.00,5.00,0.00,30.27,M,4.97,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,64.40,VHHH 310100Z 05005KT 8000 FEW045 18/11 Q1025 NOSIG
VHHH,2016-12-31 01:30,113.9219,22.3094,64.40,48.20,55.63,40.00,5.00,0.00,30.27,M,5.59,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,64.40,VHHH 310130Z 04005KT 9000 FEW045 18/09 Q1025 NOSIG
VHHH,2016-12-31 02:00,113.9219,22.3094,66.20,48.20,52.25,30.00,4.00,0.00,30.27,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,66.20,VHHH 310200Z 03004KT 9999 FEW045 19/09 Q1025 NOSIG
VHHH,2016-12-31 02:30,113.9219,22.3094,66.20,50.00,55.88,350.00,6.00,0.00,30.27,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,66.20,VHHH 310230Z 35006KT 9999 FEW045 19/10 Q1025 NOSIG
VHHH,2016-12-31 03:00,113.9219,22.3094,68.00,50.00,52.51,350.00,7.00,0.00,30.27,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,68.00,VHHH 310300Z 35007KT 9999 FEW045 20/10 Q1025 NOSIG
VHHH,2016-12-31 03:30,113.9219,22.3094,66.20,50.00,55.88,350.00,8.00,0.00,30.24,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,66.20,VHHH 310330Z 35008KT 9999 FEW045 19/10 Q1024 NOSIG
VHHH,2016-12-31 04:00,113.9219,22.3094,68.00,50.00,52.51,350.00,10.00,0.00,30.21,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,68.00,VHHH 310400Z 35010KT 9999 FEW045 20/10 Q1023 NOSIG
VHHH,2016-12-31 04:30,113.9219,22.3094,68.00,48.20,49.10,330.00,10.00,0.00,30.21,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,68.00,VHHH 310430Z 33010KT 9999 FEW045 20/09 Q1023 NOSIG
VHHH,2016-12-31 05:00,113.9219,22.3094,68.00,50.00,52.51,330.00,10.00,0.00,30.18,M,4.97,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,68.00,VHHH 310500Z 33010KT 8000 FEW045 20/10 Q1022 NOSIG
VHHH,2016-12-31 05:30,113.9219,22.3094,68.00,48.20,49.10,320.00,10.00,0.00,30.18,M,4.97,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,68.00,VHHH 310530Z 32010KT 8000 FEW045 20/09 Q1022 NOSIG
